dd.mm.yyyy,type,well,value,estimate
08.07.1959,dynamic,BR60,93.2,mean
10.06.1958,static,BR45,105.4,False
14.01.1957,static,BR55,112.2,False
28.01.1998,static,BR55,100.7,False
11.07.1957,static,BR61,113.7,False
09.01.1958,static,BR61,108.0,False
16.08.1996,static,BR61,97.1,False
29.12.1957,static,BR65,106.7,False
24.05.1983,static,BR65,107.0,False
12.10.1988,static,BR65,106.2,False
12.10.1983,static,BR66,105.9,False
11.05.1959,static,BR73,92.7,False
15.09.1993,static,BR73,107.4,False
11.01.1959,static,BR76,99.0,False
20.06.1997,static,BR77,105.4,False
28.01.1998,static,BR78,99.0,False
21.01.1998,static,BR82,96.1,False
26.10.2000,static,BR82,102.7,False
01.03.2001,static,BR83,111.9,False
17.01.1997,static,BR90,98.1,False
01.04.1966,dynamic,BR64,101.1,min
01.05.1968,dynamic,BR64,63.1,min
01.06.1968,dynamic,BR64,52.3,min
01.07.1968,dynamic,BR64,49.1,min
01.08.1968,dynamic,BR64,43.7,min
01.09.1968,dynamic,BR64,39.4,min
01.10.1968,dynamic,BR64,36.2,min
01.11.1968,dynamic,BR64,34.1,min
25.05.1966,static,BR76,98.7,min
18.06.1984,static,BR78,93.2,min
01.06.1984,static,BR78,91.7,min
20.01.2001,static,BR82,105.6,min
16.08.1996,static,BR61,91.5,min
18.09.1988,static,BR65,96.5,min
15.09.1993,static,BR73,102.0,min
20.06.1997,static,BR77,103.0,min
28.01.1998,static,BR78,102.9,min
21.01.1998,static,BR82,96.6,min
17.01.1997,static,BR90,99.6,min
18.06.1958,static,BR45,114.3,max
14.01.1957,static,BR55,120.0,max
08.02.1966,static,BR64,97.6,max
23.02.1966,static,BR64,94.2,max
19.06.1960,static,BR72,105.2,max
12.01.1959,static,BR76,106.7,max
25.05.1966,static,BR76,102.5,max
02.10.1976,static,BR76,108.6,max
17.02.1973,static,BR78,109.7,max
18.06.1984,static,BR78,94.1,max
01.06.1984,static,BR78,109.1,max
20.01.2001,static,BR82,111.6,max
05.03.1962,static,BR89,98.4,max
14.01.1957,static,BR55,120.8,max
28.01.1998,static,BR55,111.9,max
11.07.1957,static,BR61,123.3,max
09.01.1958,static,BR61,117.6,max
16.08.1996,static,BR61,97.6,max
18.09.1988,static,BR65,108.2,max
08.03.1958,static,BR68,116.5,max
11.05.1959,static,BR73,103.7,max
15.09.1993,static,BR73,113.8,max
20.06.1997,static,BR77,107.9,max
28.01.1998,static,BR78,105.8,max
21.01.1998,static,BR82,102.6,max
17.01.1997,static,BR90,105.9,max
